Number of ports,Number of containers,Limit height,Allowed rehandle,The Seqnumber of circulation,Instance,NumofCir,Numofport,Numofsta,Number of used rehandle
5,100,4,0,11,1,11,4,13,0
5,100,4,0,11,1,11,5,13,0
5,100,4,0,12,1,12,1,12,0
5,100,4,0,12,1,12,2,13,0
5,100,4,0,12,1,12,3,13,0
5,100,4,0,12,1,12,4,13,0
5,100,4,0,12,1,12,5,13,0
5,100,4,0,13,1,13,1,12,0
5,100,4,0,13,1,13,2,13,0
5,100,4,0,13,1,13,3,13,0
5,100,4,0,13,1,13,4,13,0
5,100,4,0,13,1,13,5,13,0
5,100,4,0,14,1,14,1,12,0
5,100,4,0,14,1,14,2,13,0
5,100,4,0,14,1,14,3,13,0
5,100,4,0,14,1,14,4,13,0
5,100,4,0,14,1,14,5,13,0
5,100,4,0,15,1,15,1,12,0
5,100,4,0,15,1,15,2,13,0
5,100,4,0,15,1,15,3,13,0
5,100,4,0,15,1,15,4,13,0
5,100,4,0,15,1,15,5,13,0
5,100,4,0,16,1,16,1,12,0
5,100,4,0,16,1,16,2,13,0
5,100,4,0,16,1,16,3,13,0
5,100,4,0,16,1,16,4,13,0
5,100,4,0,16,1,16,5,13,0
5,100,4,0,17,1,17,1,12,0
5,100,4,0,17,1,17,2,13,0
5,100,4,0,17,1,17,3,13,0
5,100,4,0,17,1,17,4,13,0
5,100,4,0,17,1,17,5,13,0
5,100,4,0,18,1,18,1,12,0
5,100,4,0,18,1,18,2,13,0
5,100,4,0,18,1,18,3,13,0
5,100,4,0,18,1,18,4,13,0
5,100,4,0,18,1,18,5,13,0
5,100,4,0,19,1,19,1,12,0
5,100,4,0,19,1,19,2,13,0
5,100,4,0,19,1,19,3,13,0
5,100,4,0,19,1,19,4,13,0
5,100,4,0,19,1,19,5,13,0
5,100,4,0,20,1,20,1,12,0
5,100,4,0,20,1,20,2,13,0
5,100,4,0,20,1,20,3,13,0
5,100,4,0,20,1,20,4,13,0
5,100,4,0,20,1,20,5,13,0
Number of ports,Number of containers,Limit height,Allowed rehandle,The Seqnumber of circulation,Instance,NumofCir,Numofport,Numofsta,Number of used rehandle
5,100,4,0,1,2,1,1,6,0
5,100,4,0,1,2,1,2,9,0
5,100,4,0,1,2,1,3,9,0
5,100,4,0,1,2,1,4,13,0
5,100,4,0,1,2,1,5,13,0
5,100,4,0,2,2,2,1,15,0
5,100,4,0,2,2,2,2,14,0
5,100,4,0,2,2,2,3,10,0
5,100,4,0,2,2,2,4,13,0
5,100,4,0,2,2,2,5,13,0
5,100,4,0,3,2,3,1,15,0
5,100,4,0,3,2,3,2,14,0
5,100,4,0,3,2,3,3,10,0
5,100,4,0,3,2,3,4,13,0
5,100,4,0,3,2,3,5,13,0
5,100,4,0,4,2,4,1,15,0
5,100,4,0,4,2,4,2,14,0
5,100,4,0,4,2,4,3,10,0
5,100,4,0,4,2,4,4,13,0
5,100,4,0,4,2,4,5,13,0
5,100,4,0,5,2,5,1,15,0
5,100,4,0,5,2,5,2,14,0
5,100,4,0,5,2,5,3,10,0
5,100,4,0,5,2,5,4,13,0
5,100,4,0,5,2,5,5,13,0
5,100,4,0,6,2,6,1,15,0
5,100,4,0,6,2,6,2,14,0
5,100,4,0,6,2,6,3,10,0
5,100,4,0,6,2,6,4,13,0
5,100,4,0,6,2,6,5,13,0
5,100,4,0,7,2,7,1,15,0
5,100,4,0,7,2,7,2,14,0
5,100,4,0,7,2,7,3,10,0
5,100,4,0,7,2,7,4,13,0
5,100,4,0,7,2,7,5,13,0
5,100,4,0,8,2,8,1,15,0
5,100,4,0,8,2,8,2,14,0
5,100,4,0,8,2,8,3,10,0
5,100,4,0,8,2,8,4,13,0
5,100,4,0,8,2,8,5,13,0
5,100,4,0,9,2,9,1,15,0
5,100,4,0,9,2,9,2,14,0
5,100,4,0,9,2,9,3,10,0
5,100,4,0,9,2,9,4,13,0
5,100,4,0,9,2,9,5,13,0
5,100,4,0,10,2,10,1,15,0
5,100,4,0,10,2,10,2,14,0
5,100,4,0,10,2,10,3,10,0
5,100,4,0,10,2,10,4,13,0
