Number of ports,Number of containers,Limit height,Allowed rehandle,The Seqnumber of circulation,Instance,NumofCir,Numofport,Numofsta,Number of used rehandle
5,2000,12,0,10,1,10,1,83,0
5,2000,12,0,10,1,10,2,87,0
5,2000,12,0,10,1,10,3,86,0
5,2000,12,0,10,1,10,4,84,0
5,2000,12,0,10,1,10,5,85,0
5,2000,12,0,11,1,11,1,83,0
5,2000,12,0,11,1,11,2,87,0
5,2000,12,0,11,1,11,3,86,0
5,2000,12,0,11,1,11,4,84,0
5,2000,12,0,11,1,11,5,85,0
5,2000,12,0,12,1,12,1,83,0
5,2000,12,0,12,1,12,2,87,0
5,2000,12,0,12,1,12,3,86,0
5,2000,12,0,12,1,12,4,84,0
5,2000,12,0,12,1,12,5,85,0
5,2000,12,0,13,1,13,1,83,0
5,2000,12,0,13,1,13,2,87,0
5,2000,12,0,13,1,13,3,86,0
5,2000,12,0,13,1,13,4,84,0
5,2000,12,0,13,1,13,5,85,0
5,2000,12,0,14,1,14,1,83,0
5,2000,12,0,14,1,14,2,87,0
5,2000,12,0,14,1,14,3,86,0
5,2000,12,0,14,1,14,4,84,0
5,2000,12,0,14,1,14,5,85,0
5,2000,12,0,15,1,15,1,83,0
5,2000,12,0,15,1,15,2,87,0
5,2000,12,0,15,1,15,3,86,0
5,2000,12,0,15,1,15,4,84,0
5,2000,12,0,15,1,15,5,85,0
5,2000,12,0,16,1,16,1,83,0
5,2000,12,0,16,1,16,2,87,0
5,2000,12,0,16,1,16,3,86,0
5,2000,12,0,16,1,16,4,84,0
5,2000,12,0,16,1,16,5,85,0
5,2000,12,0,17,1,17,1,83,0
5,2000,12,0,17,1,17,2,87,0
5,2000,12,0,17,1,17,3,86,0
5,2000,12,0,17,1,17,4,84,0
5,2000,12,0,17,1,17,5,85,0
5,2000,12,0,18,1,18,1,83,0
5,2000,12,0,18,1,18,2,87,0
5,2000,12,0,18,1,18,3,86,0
5,2000,12,0,18,1,18,4,84,0
5,2000,12,0,18,1,18,5,85,0
5,2000,12,0,19,1,19,1,83,0
5,2000,12,0,19,1,19,2,87,0
5,2000,12,0,19,1,19,3,86,0
5,2000,12,0,19,1,19,4,84,0
5,2000,12,0,19,1,19,5,85,0
5,2000,12,0,20,1,20,1,83,0
5,2000,12,0,20,1,20,2,87,0
5,2000,12,0,20,1,20,3,86,0
5,2000,12,0,20,1,20,4,84,0
5,2000,12,0,20,1,20,5,85,0
Number of ports,Number of containers,Limit height,Allowed rehandle,The Seqnumber of circulation,Instance,NumofCir,Numofport,Numofsta,Number of used rehandle
5,2000,12,0,1,2,1,1,35,0
5,2000,12,0,1,2,1,2,60,0
5,2000,12,0,1,2,1,3,75,0
5,2000,12,0,1,2,1,4,83,0
5,2000,12,0,1,2,1,5,82,0
5,2000,12,0,2,2,2,1,86,0
5,2000,12,0,2,2,2,2,86,0
5,2000,12,0,2,2,2,3,83,0
5,2000,12,0,2,2,2,4,83,0
5,2000,12,0,2,2,2,5,82,0
5,2000,12,0,3,2,3,1,86,0
5,2000,12,0,3,2,3,2,86,0
5,2000,12,0,3,2,3,3,83,0
5,2000,12,0,3,2,3,4,83,0
5,2000,12,0,3,2,3,5,82,0
5,2000,12,0,4,2,4,1,86,0
5,2000,12,0,4,2,4,2,86,0
5,2000,12,0,4,2,4,3,83,0
5,2000,12,0,4,2,4,4,83,0
5,2000,12,0,4,2,4,5,82,0
5,2000,12,0,5,2,5,1,86,0
5,2000,12,0,5,2,5,2,86,0
5,2000,12,0,5,2,5,3,83,0
5,2000,12,0,5,2,5,4,83,0
5,2000,12,0,5,2,5,5,82,0
5,2000,12,0,6,2,6,1,86,0
5,2000,12,0,6,2,6,2,86,0
5,2000,12,0,6,2,6,3,83,0
5,2000,12,0,6,2,6,4,83,0
5,2000,12,0,6,2,6,5,82,0
5,2000,12,0,7,2,7,1,86,0
5,2000,12,0,7,2,7,2,86,0
5,2000,12,0,7,2,7,3,83,0
5,2000,12,0,7,2,7,4,83,0
5,2000,12,0,7,2,7,5,82,0
5,2000,12,0,8,2,8,1,86,0
5,2000,12,0,8,2,8,2,86,0
5,2000,12,0,8,2,8,3,83,0
5,2000,12,0,8,2,8,4,83,0
5,2000,12,0,8,2,8,5,82,0
5,2000,12,0,9,2,9,1,86,0
5,2000,12,0,9,2,9,2,86,0
5,2000,12,0,9,2,9,3,83,0
5,2000,12,0,9,2,9,4,83,0
