NUmber of circulation,Number of ports,Number of containers,Limit height,Allowed rehandle,The Seqnumber of circulation,Instance,NumofCir,Numofport,Numofsta,Number of used rehandle
50,5,1000,4,0,28,0,28,1,129,0
50,5,1000,4,0,28,0,28,2,124,0
50,5,1000,4,0,28,0,28,3,122,0
50,5,1000,4,0,28,0,28,4,125,0
50,5,1000,4,0,28,0,28,5,130,0
50,5,1000,4,0,29,0,29,1,129,0
50,5,1000,4,0,29,0,29,2,124,0
50,5,1000,4,0,29,0,29,3,122,0
50,5,1000,4,0,29,0,29,4,125,0
50,5,1000,4,0,29,0,29,5,130,0
50,5,1000,4,0,30,0,30,1,129,0
50,5,1000,4,0,30,0,30,2,124,0
50,5,1000,4,0,30,0,30,3,122,0
50,5,1000,4,0,30,0,30,4,125,0
50,5,1000,4,0,30,0,30,5,130,0
50,5,1000,4,0,31,0,31,1,129,0
50,5,1000,4,0,31,0,31,2,124,0
50,5,1000,4,0,31,0,31,3,122,0
50,5,1000,4,0,31,0,31,4,125,0
50,5,1000,4,0,31,0,31,5,130,0
50,5,1000,4,0,32,0,32,1,129,0
50,5,1000,4,0,32,0,32,2,124,0
50,5,1000,4,0,32,0,32,3,122,0
50,5,1000,4,0,32,0,32,4,125,0
50,5,1000,4,0,32,0,32,5,130,0
50,5,1000,4,0,33,0,33,1,129,0
50,5,1000,4,0,33,0,33,2,124,0
50,5,1000,4,0,33,0,33,3,122,0
50,5,1000,4,0,33,0,33,4,125,0
50,5,1000,4,0,33,0,33,5,130,0
50,5,1000,4,0,34,0,34,1,129,0
50,5,1000,4,0,34,0,34,2,124,0
50,5,1000,4,0,34,0,34,3,122,0
50,5,1000,4,0,34,0,34,4,125,0
50,5,1000,4,0,34,0,34,5,130,0
50,5,1000,4,0,35,0,35,1,129,0
50,5,1000,4,0,35,0,35,2,124,0
50,5,1000,4,0,35,0,35,3,122,0
50,5,1000,4,0,35,0,35,4,125,0
50,5,1000,4,0,35,0,35,5,130,0
50,5,1000,4,0,36,0,36,1,129,0
50,5,1000,4,0,36,0,36,2,124,0
50,5,1000,4,0,36,0,36,3,122,0
50,5,1000,4,0,36,0,36,4,125,0
50,5,1000,4,0,36,0,36,5,130,0
50,5,1000,4,0,37,0,37,1,129,0
50,5,1000,4,0,37,0,37,2,124,0
50,5,1000,4,0,37,0,37,3,122,0
50,5,1000,4,0,37,0,37,4,125,0
50,5,1000,4,0,37,0,37,5,130,0
50,5,1000,4,0,38,0,38,1,129,0
50,5,1000,4,0,38,0,38,2,124,0
50,5,1000,4,0,38,0,38,3,122,0
50,5,1000,4,0,38,0,38,4,125,0
50,5,1000,4,0,38,0,38,5,130,0
