Number of ports,Number of containers,Limit height,Allowed rehandle,The Seqnumber of circulation,Instance,NumofCir,Numofport,Numofsta,Number of used rehandle
5,1000,8,0,10,1,10,1,64,0
5,1000,8,0,10,1,10,2,66,0
5,1000,8,0,10,1,10,3,64,0
5,1000,8,0,10,1,10,4,63,0
5,1000,8,0,10,1,10,5,63,0
5,1000,8,0,11,1,11,1,64,0
5,1000,8,0,11,1,11,2,66,0
5,1000,8,0,11,1,11,3,64,0
5,1000,8,0,11,1,11,4,63,0
5,1000,8,0,11,1,11,5,63,0
5,1000,8,0,12,1,12,1,64,0
5,1000,8,0,12,1,12,2,66,0
5,1000,8,0,12,1,12,3,64,0
5,1000,8,0,12,1,12,4,63,0
5,1000,8,0,12,1,12,5,63,0
5,1000,8,0,13,1,13,1,64,0
5,1000,8,0,13,1,13,2,66,0
5,1000,8,0,13,1,13,3,64,0
5,1000,8,0,13,1,13,4,63,0
5,1000,8,0,13,1,13,5,63,0
5,1000,8,0,14,1,14,1,64,0
5,1000,8,0,14,1,14,2,66,0
5,1000,8,0,14,1,14,3,64,0
5,1000,8,0,14,1,14,4,63,0
5,1000,8,0,14,1,14,5,63,0
5,1000,8,0,15,1,15,1,64,0
5,1000,8,0,15,1,15,2,66,0
5,1000,8,0,15,1,15,3,64,0
5,1000,8,0,15,1,15,4,63,0
5,1000,8,0,15,1,15,5,63,0
5,1000,8,0,16,1,16,1,64,0
5,1000,8,0,16,1,16,2,66,0
5,1000,8,0,16,1,16,3,64,0
5,1000,8,0,16,1,16,4,63,0
5,1000,8,0,16,1,16,5,63,0
5,1000,8,0,17,1,17,1,64,0
5,1000,8,0,17,1,17,2,66,0
5,1000,8,0,17,1,17,3,64,0
5,1000,8,0,17,1,17,4,63,0
5,1000,8,0,17,1,17,5,63,0
5,1000,8,0,18,1,18,1,64,0
5,1000,8,0,18,1,18,2,66,0
5,1000,8,0,18,1,18,3,64,0
5,1000,8,0,18,1,18,4,63,0
5,1000,8,0,18,1,18,5,63,0
5,1000,8,0,19,1,19,1,64,0
5,1000,8,0,19,1,19,2,66,0
5,1000,8,0,19,1,19,3,64,0
5,1000,8,0,19,1,19,4,63,0
5,1000,8,0,19,1,19,5,63,0
5,1000,8,0,20,1,20,1,64,0
5,1000,8,0,20,1,20,2,66,0
5,1000,8,0,20,1,20,3,64,0
5,1000,8,0,20,1,20,4,63,0
5,1000,8,0,20,1,20,5,63,0
Number of ports,Number of containers,Limit height,Allowed rehandle,The Seqnumber of circulation,Instance,NumofCir,Numofport,Numofsta,Number of used rehandle
5,1000,8,0,1,2,1,1,25,0
5,1000,8,0,1,2,1,2,45,0
5,1000,8,0,1,2,1,3,56,0
5,1000,8,0,1,2,1,4,64,0
5,1000,8,0,1,2,1,5,65,0
5,1000,8,0,2,2,2,1,66,0
5,1000,8,0,2,2,2,2,66,0
5,1000,8,0,2,2,2,3,62,0
5,1000,8,0,2,2,2,4,64,0
5,1000,8,0,2,2,2,5,65,0
5,1000,8,0,3,2,3,1,66,0
5,1000,8,0,3,2,3,2,66,0
5,1000,8,0,3,2,3,3,62,0
5,1000,8,0,3,2,3,4,64,0
5,1000,8,0,3,2,3,5,65,0
5,1000,8,0,4,2,4,1,66,0
5,1000,8,0,4,2,4,2,66,0
5,1000,8,0,4,2,4,3,62,0
5,1000,8,0,4,2,4,4,64,0
5,1000,8,0,4,2,4,5,65,0
5,1000,8,0,5,2,5,1,66,0
5,1000,8,0,5,2,5,2,66,0
5,1000,8,0,5,2,5,3,62,0
5,1000,8,0,5,2,5,4,64,0
5,1000,8,0,5,2,5,5,65,0
5,1000,8,0,6,2,6,1,66,0
5,1000,8,0,6,2,6,2,66,0
5,1000,8,0,6,2,6,3,62,0
5,1000,8,0,6,2,6,4,64,0
5,1000,8,0,6,2,6,5,65,0
5,1000,8,0,7,2,7,1,66,0
5,1000,8,0,7,2,7,2,66,0
5,1000,8,0,7,2,7,3,62,0
5,1000,8,0,7,2,7,4,64,0
5,1000,8,0,7,2,7,5,65,0
5,1000,8,0,8,2,8,1,66,0
5,1000,8,0,8,2,8,2,66,0
5,1000,8,0,8,2,8,3,62,0
5,1000,8,0,8,2,8,4,64,0
5,1000,8,0,8,2,8,5,65,0
5,1000,8,0,9,2,9,1,66,0
5,1000,8,0,9,2,9,2,66,0
5,1000,8,0,9,2,9,3,62,0
5,1000,8,0,9,2,9,4,64,0
5,1000,8,0,9,2,9,5,65,0
5,1000,8,0,10,2,10,1,66,0
5,1000,8,0,10,2,10,2,66,0
5,1000,8,0,10,2,10,3,62,0
5,1000,8,0,10,2,10,4,64,0
